,Unnamed: 0,l1,l2,numColexified,numMatchingColexified,n_overlapConcepts,n_overlapConceptPairs,l1_iso2,l2_iso2
1183,1183,iris1253,lith1251,32,449550,949,449826,ga,lt
1184,1184,iris1253,latv1249,21,449565,949,449826,ga,lv
1185,1185,iris1253,bulg1262,28,447643,947,447931,ga,bg
1186,1186,iris1253,czec1258,24,449575,949,449826,ga,cs
1187,1187,iris1253,poli1260,22,449551,949,449826,ga,pl
1188,1188,iris1253,russ1263,14,449574,949,449826,ga,ru
1189,1189,iris1253,west2369,34,449532,949,449826,ga,fa
1190,1190,iris1253,basq1248,25,449500,949,449826,ga,eu
1191,1191,iris1253,beng1280,28,449546,949,449826,ga,bn
1192,1192,iris1253,tami1289,24,449572,949,449826,ga,ta
1193,1193,iris1253,telu1262,33,449486,949,449826,ga,te
1194,1194,iris1253,veps1250,29,449537,949,449826,ga,vep
1195,1195,iris1253,west2392,25,445715,945,446040,ga,mrj
1196,1196,iris1253,moks1248,33,448566,948,448878,ga,mdf
1197,1197,iris1253,nort2641,18,449504,949,449826,ga,ku
1198,1198,iris1253,nucl1235,18,448628,948,448878,ga,hy
1199,1199,iris1253,croa1245,15,448611,948,448878,ga,hr
1200,1200,iris1253,slov1268,10,448635,948,448878,ga,sl
1201,1201,iris1253,slov1269,16,449560,949,449826,ga,sk
1202,1202,iris1253,ukra1253,10,449587,949,449826,ga,uk
1203,1203,iris1253,bela1254,9,449583,949,449826,ga,be
1204,1204,iris1253,icel1247,16,449557,949,449826,ga,is
1205,1205,iris1253,norw1258,14,448611,948,448878,ga,no
1206,1206,iris1253,nucl1301,21,449509,949,449826,ga,tr
1207,1207,iris1253,kaza1248,21,449546,949,449826,ga,kk
1208,1208,iris1253,bash1264,31,449519,949,449826,ga,ba
1209,1209,iris1253,tata1255,22,449508,949,449826,ga,tt
1210,1210,iris1253,chuv1255,27,448533,948,448878,ga,cv
1211,1211,iris1253,yaku1245,28,449455,949,449826,ga,sah
1212,1212,iris1253,kalm1243,14,448571,948,448878,ga,xal
1213,1213,iris1253,kore1280,9,440125,939,440391,ga,ko
1214,1214,iris1253,nucl1643,18,449507,949,449826,ga,ja
1215,1215,iris1253,nucl1305,11,449556,949,449826,ga,kn
1216,1216,iris1253,mala1464,19,449580,949,449826,ga,ml
1217,1217,iris1253,nucl1302,18,449583,949,449826,ga,ka
1218,1218,iris1253,abkh1244,27,430738,929,431056,ga,ab
1219,1219,iris1253,hebr1245,17,449558,949,449826,ga,he
1220,1220,iris1253,mand1415,19,444795,944,445096,ga,zh
1221,1221,wels1247,bret1244,41,438323,937,438516,cy,br
1222,1222,wels1247,dani1285,22,450588,950,450775,cy,da
1223,1223,wels1247,swed1254,17,451538,951,451725,cy,sv
1224,1224,wels1247,stan1293,13,451522,951,451725,cy,en
1225,1225,wels1247,dutc1256,21,451531,951,451725,cy,nl
1226,1226,wels1247,stan1295,10,451555,951,451725,cy,de
1227,1227,wels1247,lith1251,24,451523,951,451725,cy,lt
1228,1228,wels1247,latv1249,19,451550,951,451725,cy,lv
1229,1229,wels1247,bulg1262,27,449626,949,449826,cy,bg
1230,1230,wels1247,czec1258,16,451548,951,451725,cy,cs
1231,1231,wels1247,poli1260,19,451533,951,451725,cy,pl
1232,1232,wels1247,russ1263,10,451555,951,451725,cy,ru
1233,1233,wels1247,west2369,26,451505,951,451725,cy,fa
1234,1234,wels1247,basq1248,27,451493,951,451725,cy,eu
1235,1235,wels1247,beng1280,19,451517,951,451725,cy,bn
1236,1236,wels1247,tami1289,14,451541,951,451725,cy,ta
1237,1237,wels1247,telu1262,25,451459,951,451725,cy,te
1238,1238,wels1247,veps1250,26,451520,951,451725,cy,vep
1239,1239,wels1247,west2392,26,447698,947,447931,cy,mrj
1240,1240,wels1247,moks1248,25,450535,950,450775,cy,mdf
1241,1241,wels1247,nort2641,19,451493,951,451725,cy,ku
1242,1242,wels1247,nucl1235,9,450596,950,450775,cy,hy
1243,1243,wels1247,croa1245,8,450584,950,450775,cy,hr
1244,1244,wels1247,slov1268,7,450617,950,450775,cy,sl
1245,1245,wels1247,slov1269,12,451540,951,451725,cy,sk
1246,1246,wels1247,ukra1253,9,451574,951,451725,cy,uk
1247,1247,wels1247,bela1254,9,451572,951,451725,cy,be
1248,1248,wels1247,icel1247,13,451540,951,451725,cy,is
1249,1249,wels1247,norw1258,15,450596,950,450775,cy,no
1250,1250,wels1247,nucl1301,23,451502,951,451725,cy,tr
1251,1251,wels1247,kaza1248,14,451521,951,451725,cy,kk
