Longitude,Latitude,Time,Precipitation
91.25W,81.25S,Jan 1960,14.51728
88.75W,81.25S,Jan 1960,14.3669
86.25W,81.25S,Jan 1960,14.38644
83.75W,81.25S,Jan 1960,14.66289
81.25W,81.25S,Jan 1960,15.14726
78.75W,81.25S,Jan 1960,15.63627
76.25W,81.25S,Jan 1960,16.24029
73.75W,81.25S,Jan 1960,17.00425
71.25W,81.25S,Jan 1960,17.64849
68.75W,81.25S,Jan 1960,18.13092
66.25W,81.25S,Jan 1960,18.60083
63.75W,81.25S,Jan 1960,19.0822
61.25W,81.25S,Jan 1960,19.40712
58.75W,81.25S,Jan 1960,19.78587
56.25W,81.25S,Jan 1960,20.31692
53.75W,81.25S,Jan 1960,20.533
51.25W,81.25S,Jan 1960,20.48581
48.75W,81.25S,Jan 1960,20.35581
46.25W,81.25S,Jan 1960,19.27158
43.75W,81.25S,Jan 1960,18.12949
41.25W,81.25S,Jan 1960,18.66783
38.75W,81.25S,Jan 1960,19.20658
36.25W,81.25S,Jan 1960,18.84457
33.75W,81.25S,Jan 1960,18.57754
31.25W,81.25S,Jan 1960,18.49701
28.75W,81.25S,Jan 1960,18.47188
26.25W,81.25S,Jan 1960,18.41661
23.75W,81.25S,Jan 1960,18.26011
21.25W,81.25S,Jan 1960,17.98545
18.75W,81.25S,Jan 1960,17.71493
16.25W,81.25S,Jan 1960,17.47764
13.75W,81.25S,Jan 1960,17.18583
11.25W,81.25S,Jan 1960,16.89005
8.75W,81.25S,Jan 1960,16.58999
6.25W,81.25S,Jan 1960,16.10702
3.75W,81.25S,Jan 1960,15.53851
1.25W,81.25S,Jan 1960,15.2041
1.25E,78.75S,Jan 1960,14.3655
3.75E,78.75S,Jan 1960,13.36838
6.25E,78.75S,Jan 1960,11.8798
8.75E,78.75S,Jan 1960,10.68312
11.25E,78.75S,Jan 1960,9.728722
13.75E,78.75S,Jan 1960,8.844611
16.25E,78.75S,Jan 1960,8.222979
18.75E,78.75S,Jan 1960,7.882342
21.25E,78.75S,Jan 1960,7.502199
23.75E,78.75S,Jan 1960,7.053494
26.25E,78.75S,Jan 1960,6.66245
28.75E,78.75S,Jan 1960,6.323042
31.25E,78.75S,Jan 1960,6.068373
33.75E,78.75S,Jan 1960,5.963521
36.25E,78.75S,Jan 1960,5.988622
38.75E,78.75S,Jan 1960,6.030877
41.25E,78.75S,Jan 1960,6.036901
43.75E,78.75S,Jan 1960,6.017998
46.25E,78.75S,Jan 1960,5.945539
48.75E,78.75S,Jan 1960,5.793707
51.25E,78.75S,Jan 1960,5.496159
53.75E,78.75S,Jan 1960,5.051091
56.25E,78.75S,Jan 1960,4.608157
58.75E,78.75S,Jan 1960,4.259008
61.25E,78.75S,Jan 1960,4.034878
63.75E,78.75S,Jan 1960,3.873066
66.25E,78.75S,Jan 1960,3.675715
68.75E,78.75S,Jan 1960,3.463272
71.25E,78.75S,Jan 1960,3.273365
73.75E,78.75S,Jan 1960,3.086766
76.25E,78.75S,Jan 1960,2.928438
78.75E,78.75S,Jan 1960,2.847253
81.25E,78.75S,Jan 1960,2.799828
83.75E,78.75S,Jan 1960,2.763699
86.25E,78.75S,Jan 1960,2.796337
88.75E,78.75S,Jan 1960,2.879317
91.25E,78.75S,Jan 1960,2.92774
93.75E,78.75S,Jan 1960,2.903773
96.25E,78.75S,Jan 1960,2.834148
98.75E,78.75S,Jan 1960,2.789968
101.25E,78.75S,Jan 1960,2.802606
103.75E,78.75S,Jan 1960,2.834991
106.25E,78.75S,Jan 1960,2.859329
108.75E,78.75S,Jan 1960,2.919664
111.25E,78.75S,Jan 1960,3.046094
113.75E,78.75S,Jan 1960,3.222424
116.25E,78.75S,Jan 1960,3.497572
118.75E,78.75S,Jan 1960,3.874165
121.25E,78.75S,Jan 1960,4.285257
123.75E,78.75S,Jan 1960,4.719752
126.25E,78.75S,Jan 1960,5.202994
128.75E,78.75S,Jan 1960,5.66853
131.25E,78.75S,Jan 1960,5.916653
133.75E,78.75S,Jan 1960,6.006595
